Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
4,15,92258,20118,15767,11038,1488
4,16,94704,24587,22678,13425,1567
4,17,83509,20657,21015,13734,1628
4,18,90638,21825,18159,11356,1252
4,19,89796,18782,14346,9943,665
4,20,91974,18755,14642,9774,1938
4,21,117852,28513,22031,14173,2246
4,22,111888,25174,20880,13839,1858
4,23,124280,28382,21698,13894,1539
4,24,139705,37383,25637,15827,1928
4,25,134744,53329,52839,32253,2639
4,26,136099,23386,20707,17345,2230
4,27,99173,16849,15903,13349,1981
4,28,325965,132125,52697,19759,1295
4,29,199221,70694,37204,17157,1552
4,30,776916,416037,135448,30339,1664
4,31,242847,62731,25378,14561,1621
4,32,76752,19685,17137,12350,2354
4,33,706031,259189,70615,18707,1680
4,34,111551,25469,14658,9959,1499
4,35,138492,28435,17389,13021,2015
4,36,123577,25304,18801,13193,3027
4,37,1752793,4076086,4135741,1240260,3929
4,38,172823,247906,257959,97657,2350
4,39,106039,29736,24844,16643,1986
4,40,79440,21405,19987,15718,938
4,41,100256,25486,19876,14280,1258
4,42,83522,20232,15271,13631,1972
4,43,78056,18400,15439,13414,1404
4,44,88454,20577,15528,12627,2033
4,45,86206,22334,16978,12458,1640
4,46,105271,24014,17085,12869,1610
4,47,117567,27135,19414,13630,1807
4,48,117960,26620,18595,13524,1837
4,49,97445,28444,31732,22625,1867
4,50,93328,17777,17382,15434,2033
4,51,71794,16926,15294,12329,1771
4,52,58310,18199,19235,14308,1007
4,53,76304,27942,24054,15088,1707
4,54,71162,18389,14066,12205,1708
4,55,68362,19991,19019,13763,1287
4,56,81081,21046,18644,14231,2042
4,57,70982,19715,17332,12934,1890
4,58,80075,20177,15338,11470,845
4,59,110947,29200,21566,13724,1338
4,60,119400,36215,20535,13299,1408
4,61,99488,19134,15662,13988,2397
4,62,85679,18775,15608,13755,2000
4,63,71163,18407,15916,15053,1836
4,64,78454,20014,15746,14200,2641
4,65,129233,48778,32158,21381,1881
4,66,114744,35386,20982,15329,2202
4,67,75739,19154,14727,13741,1748
4,68,109180,41383,25065,17979,1738
4,69,64469,18277,17013,18726,1990
4,70,92885,37642,25431,19022,1824
4,71,117403,34578,20154,14175,1415
4,72,72118,16750,15376,13264,1559
4,73,122826,27029,18158,13207,1759
4,74,108632,32217,19907,14233,1158
4,75,102222,14433,11145,11410,1815
4,76,82680,19549,19034,15486,1650
4,77,111051,19026,14708,13797,2268
4,78,105781,18634,15040,13836,2118
4,79,108808,24411,20294,16159,1994
4,80,158543,42389,23916,16320,2262
4,81,89900,21171,18499,15549,1827
4,82,122661,29438,19351,14594,1674
4,83,108367,23755,17100,13822,1740
4,84,115460,22940,16923,13481,1749
4,85,103776,22880,24815,18424,1480
4,86,109335,17469,15589,12321,57
4,87,97632,15323,11223,11004,1489
4,88,84504,16134,15146,13422,1523
4,89,112553,19501,17162,14317,1891
4,90,111562,22217,15100,12199,1931
4,91,110837,25331,20740,15508,2208
4,92,120184,22893,15683,13216,2202
4,93,88655,18426,10585,9418,1301
4,94,88024,15618,12494,10864,1222
4,95,90507,18332,15599,11902,1348
4,96,115635,23176,16542,12079,2533
5,1,191732,26437,20179,18029,3101
5,2,153309,24578,19303,15261,2500
5,3,117297,19899,15211,11532,1693
5,4,95785,21365,25531,18878,1656
5,5,119610,22367,21542,15374,1973
5,6,108877,19166,20142,13258,1702
5,7,117043,19744,19736,12967,1806
5,8,136580,30321,17826,9829,1041
5,9,119052,23820,16988,11509,1536
5,10,198988,35135,24534,15717,2011
5,11,174130,29452,21662,15690,2786
5,12,174009,24231,19853,17254,4485
5,13,128801,21282,17936,15560,1831
5,14,104785,18186,15332,12887,2080
5,15,91029,19721,15589,10966,1774
5,16,93760,24177,22236,13595,1484
5,17,82285,20354,20328,13092,1569
5,18,89280,21133,17641,11025,1424
5,19,88655,18468,14454,9584,410
5,20,89559,18555,14483,9932,1969
5,21,116441,27446,21543,13914,2231
5,22,109996,24155,20301,13586,1678
5,23,123084,27632,21536,13880,1555
5,24,138682,37479,25982,15844,1201
5,25,134343,54245,54345,32516,2322
5,26,133809,22890,20629,16983,2188
5,27,97632,16538,15976,13920,1412
5,28,331924,133872,53728,20036,1596
5,29,200169,70698,37597,16763,1206
5,30,784574,418121,136326,30379,1541
5,31,246057,63887,25326,14228,1436
5,32,75973,19850,16799,12827,2061
5,33,719468,262785,70988,18598,1522
5,34,111099,25108,14542,9858,1666
5,35,136324,28673,17349,12392,2599
5,36,122367,25119,18469,12840,2898
5,37,1756605,4065597,4150719,1256691,3630
5,38,171831,245414,257749,98376,2325
5,39,105820,28835,24731,16531,1642
5,40,78267,21047,19907,16202,1089
5,41,99732,25135,19821,14325,1633
5,42,81902,19932,15573,13859,1711
5,43,77148,18018,15440,13680,1203
5,44,87278,19846,15243,12653,1285
5,45,84339,21790,16973,12083,1377
5,46,103855,23447,17024,12642,1836
5,47,115250,26807,18980,13623,1471
5,48,116850,26436,18514,14097,1854
5,49,95446,28347,32346,23587,1732
5,50,92870,17484,17363,15701,1838
5,51,71748,16281,14998,11725,1723
5,52,58351,17891,19021,14003,1209
5,53,74533,27272,24124,15226,1727
5,54,69834,17727,14028,11900,1618
5,55,67242,19288,18733,13750,1629
5,56,80018,20453,18443,14380,1593
5,57,70079,19052,17364,13212,1632
5,58,78874,19755,14904,11375,1005
5,59,107046,28693,21331,14094,1560
5,60,116384,35899,21092,13019,1745
5,61,97267,18406,15546,13438,2349
5,62,85060,18721,15198,13914,2322
5,63,70665,18087,15317,15248,2307
5,64,77363,19701,15330,14227,2756
5,65,126902,48465,31971,21429,1983
5,66,112971,35277,21002,15663,2383
5,67,74839,18948,14754,13587,1459
5,68,107935,41103,24693,18231,1753
5,69,63889,18003,16664,18440,2250
5,70,93133,37640,25253,19557,1729
5,71,117998,35352,20240,14489,1303
5,72,71774,16815,15001,13398,1290
5,73,120418,26307,17870,13110,1717
5,74,105861,31853,19526,14730,1014
5,75,101822,14207,10931,11713,1554
5,76,81047,18961,18853,15071,1597
5,77,110145,18604,14607,13886,1871
5,78,104881,18580,14807,13501,2124
5,79,107548,23711,20029,16356,1851
5,80,156623,41791,23744,16335,1764
5,81,88402,20742,18351,15358,1571
5,82,120042,28871,19228,14715,1313
5,83,106068,23237,16894,13765,1579
5,84,113294,22586,16661,13415,1465
5,85,103852,22815,24865,17696,2081
5,86,108139,17485,15485,12639,49
5,87,97570,15255,11220,10662,1841
5,88,82232,15995,14974,12990,1544
5,89,111371,19176,17233,14264,2185
5,90,110168,21795,14944,12056,2379
5,91,109553,24702,20362,15248,2181
5,92,119073,22794,15474,13010,2389
5,93,87716,17951,10544,9356,997
5,94,86311,15024,12329,10703,973
5,95,88702,17803,15331,11691,1282
5,96,112728,22596,15788,12465,2473
6,1,193190,26407,19917,18002,3344
6,2,151317,24459,19096,15540,2971
6,3,117305,19920,15065,11027,1694
6,4,95503,21350,25257,18396,1492
6,5,119228,22665,21930,15132,1846
6,6,109036,19015,20185,13094,1824
6,7,116310,19953,19637,13151,1616
6,8,137611,29942,18233,9556,1058
6,9,117675,23521,16946,11316,1730
6,10,199280,35178,24373,15007,1822
6,11,174140,29702,21685,15792,2775
6,12,174490,23793,20027,16849,4265
6,13,129190,21080,18123,15287,2416
6,14,105191,17895,15553,12993,1657
6,15,89733,19698,15866,11341,1670
6,16,93817,24245,22031,13323,1581
6,17,81661,20258,20236,13328,1842
6,18,88243,21058,17593,11199,1325
6,19,88708,18839,14515,10188,509
6,20,89869,18407,14511,10010,2276
6,21,116124,27447,21606,13986,1963
6,22,109125,24208,20598,13584,1867
6,23,123107,27756,21450,14330,1829
6,24,138302,37551,26301,15968,1691
6,25,134288,57148,56934,33643,2492
6,26,134235,22991,20594,17565,2435
6,27,98609,16388,15674,13882,1528
6,28,337404,137323,55404,20238,1458
6,29,201180,72150,38663,17474,1896
6,30,799480,425517,138796,31062,1120
6,31,251717,65304,25753,14532,1413
6,32,76109,19347,16814,11869,2483
6,33,745494,270336,72588,19024,1893
6,34,111555,24842,14767,9858,1517
6,35,136825,28400,17507,12371,2662
6,36,122658,25042,18588,13101,2568
6,37,1768383,4098855,4208879,1281958,4457
6,38,171823,246897,260591,100769,2350
6,39,106069,29145,24874,16739,2033
6,40,77752,20759,19815,16041,1266
6,41,98976,24711,19875,14826,1470
6,42,82779,20561,15324,13649,1470
6,43,76733,17944,15170,13570,1252
6,44,86566,19837,15521,12609,1467
6,45,84582,22027,16980,12401,1568
6,46,103367,23948,17200,12762,1711
6,47,115674,26297,19197,13593,1768
6,48,116712,26539,18491,13498,1815
6,49,95727,29469,33341,23661,1870
6,50,92688,17483,17446,15441,2122
6,51,70967,16325,15037,11983,1426
6,52,59273,18273,19199,14286,977
6,53,73951,26774,24086,15283,1545
6,54,68993,17945,13745,12481,1626
6,55,67440,19186,18569,13784,1282
6,56,80254,20390,18203,14115,1761
6,57,69413,19422,16938,13493,1935
6,58,78512,19532,15192,11337,1348
6,59,107492,28445,21327,14363,1571
6,60,117686,37119,21582,12975,1703
6,61,98234,18170,15553,13730,2619
6,62,85089,18852,15152,14089,2539
6,63,70902,18072,15469,14646,1976
6,64,78003,19703,15194,14522,2814
6,65,127042,48942,32228,22014,1847
