Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
5,29,81703,13520,10985,11083,1726
5,30,68015,13374,11272,10879,978
5,31,61292,16213,14820,14949,1295
5,32,417501,678180,673424,226998,2554
5,33,179278,266029,287137,116656,2122
5,34,108176,92451,105553,52778,1719
5,35,116494,32191,32820,22161,2179
5,36,121133,19069,17722,14760,3094
5,37,98108,13155,11300,11387,1531
5,38,102155,14695,12588,12265,2257
5,39,86402,13101,11580,11046,1594
5,40,71114,12245,11477,11491,1312
5,41,77559,15148,12963,12207,1335
5,42,90877,14176,11636,12425,1843
5,43,73457,12167,10265,10378,1553
5,44,71126,12029,10060,10050,1909
5,45,61670,11198,9652,9540,1479
5,46,74834,13377,10898,10474,1567
5,47,101069,16959,13792,13029,2611
5,48,105995,15563,12344,10875,2042
5,49,101216,16978,13112,13747,1960
5,50,77299,13777,11840,12503,1839
5,51,60358,11185,9517,9497,1514
5,52,65177,12704,11083,11391,1150
5,53,72846,13184,10641,10989,1270
5,54,71986,13900,11955,12597,1926
5,55,55874,13738,12051,10858,956
5,56,66857,17535,14818,11895,1922
5,57,60023,11898,10377,10242,1641
5,58,64851,12304,10507,10402,804
5,59,79405,33137,21495,13372,1166
5,60,118985,56036,37385,17916,1629
5,61,102554,16374,13259,14191,2099
5,62,71890,13304,11450,12122,1835
5,63,72711,12715,10244,11442,1623
5,64,148311,66602,34619,17209,2570
5,65,56009,15186,14022,13169,1633
5,66,83604,14430,11870,12583,2391
5,67,62448,15359,13553,12748,1412
5,68,58257,14827,13516,13019,1731
5,69,73779,15870,15202,17056,2495
5,70,54394,14690,14441,13399,1499
5,71,78336,12906,12539,11427,988
5,72,77491,13050,12764,11470,1060
5,73,85774,13900,11705,12957,1566
5,74,66026,19657,18687,20110,4223
5,75,58244,15386,15197,15429,2115
5,76,49455,14142,13585,13141,1532
5,77,71115,16887,16512,16233,2161
5,78,57243,15159,14568,14775,2190
5,79,62810,16587,15733,15126,2025
5,80,61640,15394,14556,13776,1590
5,81,51616,15495,15887,15494,1530
5,82,61296,15771,15021,14449,1718
5,83,68403,14210,13520,13561,1386
5,84,78868,15629,14298,12905,1975
5,85,69984,14692,45287,37457,1203
5,86,78395,11394,10321,11423,362
5,87,64701,11378,9541,10324,1498
5,88,60858,11145,9503,10406,1328
5,89,86273,13545,12841,12293,1493
5,90,76032,14068,12895,12497,1940
5,91,80427,21729,33975,30501,1822
5,92,84203,22178,19010,15415,1606
5,93,49173,12925,11451,11156,1158
5,94,69650,15507,16542,15348,1067
5,95,69441,16694,17618,15836,984
5,96,84744,15560,15543,14821,2333
6,1,159940,24867,20325,19236,3566
6,2,156059,25471,21096,19383,3201
6,3,102788,19534,16827,14962,2820
6,4,3940076,2878999,1346262,431760,1850
6,5,79834,26215,48883,39711,1409
6,6,87143,15070,15479,10843,1301
6,7,112422,13882,11823,7980,1134
6,8,108194,12992,10661,7190,841
6,9,128341,16568,12936,10071,1960
6,10,162185,18986,15234,12338,2187
6,11,185699,22135,17108,13515,2332
6,12,186832,22130,16014,12844,4315
6,13,128047,17499,12036,11587,1977
6,14,116282,16180,11461,10890,1936
6,15,99108,13874,10110,9605,1948
6,16,86596,14283,10293,8046,745
6,17,81238,13533,11184,9920,1775
6,18,80193,12795,10596,8891,1224
6,19,81371,16594,12881,9319,304
6,20,92794,16601,12437,9789,1799
6,21,108246,18347,14302,11648,2419
6,22,105703,15795,12400,10731,1965
6,23,116235,16706,13105,11382,2050
6,24,114726,16333,12709,11424,1455
6,25,131692,15875,11149,12639,2350
6,26,161747,24002,14577,13462,2753
