Reading,Well,Filter A,Filter B,Filter C,Filter D,Filter E
4,72,86594,14036,11964,10448,1103
4,73,103339,15427,12021,11244,1885
4,74,104129,26850,25109,25242,5706
4,75,68808,19774,19075,18729,2562
4,76,54967,16456,15267,15601,1515
4,77,75995,18212,17520,17499,2755
4,78,59588,16879,16396,16917,2501
4,79,62448,17366,17055,16680,1908
4,80,69402,17908,17441,15940,2122
4,81,62891,23014,22442,18714,1942
4,82,75744,17250,16558,16662,2113
4,83,78942,15138,13850,13716,1506
4,84,81938,16710,14933,13415,1844
4,85,77322,21294,201520,152963,1809
4,86,91524,14229,11677,11348,435
4,87,79094,12634,9831,10467,1566
4,88,67171,11940,9077,10094,1261
4,89,90321,14938,13317,12700,1726
4,90,80789,15265,12672,12025,2057
4,91,103169,28803,36802,30374,1677
4,92,77598,20732,18985,17546,2061
4,93,51737,17007,16164,14583,1454
4,94,77405,15463,16423,14036,1397
4,95,88718,17476,17082,13802,1510
4,96,94985,15612,13795,11730,2023
5,1,191945,29048,22672,21209,3548
5,2,184421,28729,23469,21018,3799
5,3,111146,22644,20540,17632,3255
5,4,1690795,1673146,1155058,445200,2337
5,5,106528,30991,45226,34241,1897
5,6,110265,17172,15832,11595,1799
5,7,126875,14997,12066,8393,1658
5,8,115177,13550,10372,6740,1090
5,9,114877,15772,12451,10218,1980
5,10,170586,19545,14608,12672,2429
5,11,198381,22856,16816,13758,3053
5,12,184975,22741,16396,13761,4896
5,13,148591,20170,13550,12671,1856
5,14,125488,17711,12825,10837,1691
5,15,106122,14649,10339,8808,1906
5,16,103479,16034,11785,9190,1707
5,17,93295,14192,11571,9567,1800
5,18,87783,14983,12118,9232,4628
5,19,91680,18188,13629,8929,511
5,20,99654,18532,13702,9899,1811
5,21,110284,19850,15484,12332,2294
5,22,104782,17661,14199,11956,2152
5,23,118282,17506,14208,11958,1618
5,24,124961,16336,12909,11370,893
5,25,153703,18869,12463,12828,2615
5,26,148965,18283,12443,12482,2910
5,27,108970,15036,10845,11577,1681
5,28,98281,14866,12100,12228,1385
5,29,91545,14450,10950,11592,1899
5,30,80586,14426,10712,11890,1694
5,31,70160,17095,15610,15811,1689
5,32,1355530,2103117,1754208,470106,2765
5,33,1299097,2102601,1710203,456082,1712
5,34,747210,1283999,1096569,313535,2394
5,35,171079,162374,151269,63777,2118
5,36,115013,41652,37357,22758,4098
5,37,108158,15401,12900,11878,1845
5,38,106030,15576,13032,11940,2037
5,39,92425,13950,12044,11631,1506
5,40,82806,14260,11791,12344,1195
5,41,96296,22643,15415,12954,1215
5,42,89780,14190,10869,12152,1528
5,43,82616,13095,10283,11283,1392
5,44,76719,12986,9881,10257,1553
5,45,66691,11844,9400,9493,1462
5,46,88736,14567,11445,10734,2027
5,47,107277,19235,14588,12368,2070
5,48,90598,13786,11421,9823,1191
5,49,97924,17328,13346,11378,2307
5,50,92109,15508,12371,11708,1928
5,51,68402,13644,11027,10711,1517
5,52,64988,12493,10614,10529,1065
5,53,82177,17909,13991,11997,1853
5,54,75545,15818,13000,12764,1745
5,55,71098,13525,10738,11210,1334
5,56,72098,14388,12177,11496,2296
5,57,83071,20069,15179,13141,2523
5,58,68884,12623,11289,10685,1376
5,59,57953,14480,10639,10730,1636
5,60,107673,34287,22039,12890,1939
5,61,128003,19926,15330,14329,2633
5,62,89137,14999,11679,11181,1747
5,63,86901,14426,10868,10681,1777
5,64,500198,221688,69143,21551,2297
5,65,63569,16949,16131,14376,1638
5,66,87726,14996,12041,12568,1962
5,67,66114,16052,14307,14836,1604
5,68,69837,15896,14569,14522,1743
5,69,73531,16630,19282,19653,2107
5,70,62240,17273,15705,14071,1717
5,71,81796,13313,11387,11079,1319
5,72,85722,14047,11656,11048,1115
5,73,101291,14941,12052,11313,1242
5,74,104257,26704,24794,25481,5670
5,75,67992,19391,19226,18884,2619
5,76,53888,16279,15092,15655,1709
5,77,75948,18085,16949,16819,2258
5,78,58943,16565,16161,17006,2319
5,79,62165,17220,16751,16919,1723
5,80,68142,17841,17111,15924,2111
5,81,62233,22521,22152,18944,1886
5,82,74751,17240,16305,16321,1889
5,83,77674,15005,13861,13250,1727
5,84,82876,16502,14429,12547,1931
5,85,77524,21303,200226,152750,1624
5,86,91391,13849,11900,11217,320
5,87,78063,12265,9805,10280,1611
5,88,66801,11767,9142,10098,1229
5,89,90238,14824,12968,12526,1829
5,90,79272,15117,12815,12203,1996
5,91,101879,28312,36359,29854,1856
5,92,77711,20448,18800,17286,2053
5,93,51935,16863,15857,14557,1159
5,94,78102,15693,15983,13952,1186
5,95,88659,17338,16791,14078,1444
5,96,93229,15352,13541,12507,1128
6,1,190130,28941,22002,21135,4003
6,2,183212,28218,22934,20945,3367
6,3,110750,22189,19898,17078,3106
6,4,1667994,1645868,1125686,431166,1973
6,5,105957,31240,45160,34334,1885
6,6,108916,17128,15731,11777,1696
6,7,124183,14864,11792,8586,1530
6,8,113819,13266,10120,7029,1021
6,9,113923,15256,12528,9885,2088
6,10,168990,19180,14553,12497,2491
6,11,196642,22505,16430,13829,3332
6,12,183150,22954,15889,13969,4614
6,13,146872,19864,13400,12792,2644
6,14,125492,17497,12496,10959,2069
6,15,105556,14511,10274,8634,1408
6,16,103061,15555,11633,9459,1675
6,17,93014,14246,11354,9487,1635
6,18,87775,15011,11963,9366,4639
6,19,90235,18088,13530,8429,425
6,20,99872,18272,13766,10104,2056
6,21,109237,19672,15765,12227,2676
6,22,104328,17348,14402,11750,1558
6,23,117525,17908,14047,11770,1977
6,24,122390,16814,12815,11790,1143
6,25,152081,18228,12349,13235,2466
6,26,147408,17547,12569,12122,2431
6,27,107189,15055,10730,11943,1510
6,28,98702,14607,11848,12648,1795
6,29,90826,14485,11216,11510,1816
6,30,80143,13937,10751,11266,1774
6,31,70217,17188,15530,16271,1380
6,32,1357954,2127433,1788804,483971,2488
6,33,1334631,2157208,1759287,470590,2211
6,34,823818,1412202,1193710,338212,1937
6,35,182428,189161,176414,71908,2262
6,36,113740,42350,38221,23217,3561
6,37,108990,15067,13050,11064,2193
6,38,105349,15090,12537,11929,2225
6,39,92283,13573,11915,11858,1800
6,40,82612,13870,11975,12593,1708
6,41,95306,22298,14991,12844,1596
6,42,88507,13452,10648,11933,1866
6,43,81529,13100,10245,11110,1413
6,44,75572,12717,9811,9854,1664
6,45,66724,11682,9295,9249,1496
6,46,86908,14468,11519,10543,1790
6,47,106472,18886,14528,12364,2656
6,48,89719,13717,11032,9769,1313
6,49,97506,16934,13295,11829,1583
6,50,91138,15573,11915,11557,2146
6,51,67652,13250,10840,10460,1307
6,52,65382,12429,10672,10458,1015
6,53,81438,18128,14230,12097,1769
6,54,75253,15536,12994,13001,1929
6,55,70121,13353,10514,11213,1405
6,56,71881,14386,11850,11621,2004
6,57,82195,19861,15241,12800,2310
6,58,68073,12658,11248,10768,1113
6,59,58701,15973,11302,11200,1351
6,60,107305,35199,22838,12963,1560
6,61,128672,19248,14886,13946,2808
6,62,87669,14921,11756,11396,1642
6,63,86057,14208,10805,10570,1772
6,64,495464,218601,68786,21557,2492
6,65,63582,16908,16021,14404,1839
6,66,86829,14503,11939,12268,2145
6,67,65030,16157,14301,14730,1777
6,68,68908,16207,14528,14012,1661
6,69,74031,16458,19116,19992,2167
6,70,62700,17381,15572,13874,1403
6,71,80501,13381,11304,10718,1406
6,72,85062,13977,11456,10509,1393
6,73,101575,14928,11678,11467,1788
6,74,104067,26445,24561,25409,5672
6,75,66636,19245,18764,18867,2376
6,76,53700,16028,15034,15399,1813
6,77,75486,17804,16931,16845,2449
6,78,59371,16669,15944,17123,2538
6,79,62214,16940,16656,16694,2143
6,80,65661,17613,16874,15929,1904
6,81,62011,22162,21699,18517,1704
6,82,73681,16943,15919,16009,2175
6,83,77972,15190,13448,13453,1826
6,84,82219,16563,14366,12650,1609
6,85,76821,20602,198323,152190,1180
6,86,91147,13674,12026,11127,235
6,87,77048,12265,9795,10414,1398
6,88,65632,11503,9068,9931,1566
6,89,88968,14556,12930,12400,2043
6,90,78984,15063,12366,11901,2052
6,91,101194,27983,35395,29412,1811
6,92,77181,19857,18567,17016,2298
6,93,51324,16617,15471,14495,1376
6,94,75843,15281,15531,13879,954
6,95,87083,17270,16679,14615,1203
6,96,92859,15664,13423,11802,1811
7,1,188213,28017,21914,20543,3608
7,2,183329,27901,22721,20693,3085
7,3,109862,22024,19435,16986,2909
7,4,1639912,1614769,1098764,418391,2280
7,5,104818,31585,45395,34154,2008
7,6,107852,16804,15671,11612,1552
7,7,122038,14810,11988,8646,1865
7,8,110855,13465,10165,7099,834
7,9,111670,15247,12417,9830,1623
7,10,167363,19312,14617,12169,2236
7,11,195365,22463,16354,13625,3154
7,12,180993,22191,16013,14710,4426
7,13,144261,19370,13272,13021,2559
7,14,123653,17333,12093,10981,1739
7,15,103913,14048,9914,9311,1008
7,16,100951,15675,11503,9063,1548
7,17,92639,14273,11030,9338,1587
7,18,86592,14903,11679,9763,4089
7,19,88761,18035,13676,8873,330
7,20,96912,18093,13768,10153,1749
7,21,107187,19721,15604,11673,2596
7,22,104143,16953,13935,11031,1603
7,23,116906,17062,13745,11609,1925
7,24,120089,16593,12745,11112,1134
7,25,149915,18344,12468,12820,2154
7,26,144943,17812,12692,11856,2279
7,27,106185,14374,10621,11630,1743
7,28,94571,14959,11778,11829,1815
7,29,89939,14354,10875,11632,1710
7,30,79139,13646,10596,11168,1622
7,31,70326,17650,15155,15845,2248
7,32,1353099,2144887,1822401,496630,2737
7,33,1363500,2205559,1804488,484727,2238
7,34,904547,1540278,1295152,363865,2606
7,35,197498,223544,209164,83164,2447
7,36,112911,43277,39019,23007,3760
7,37,106866,15176,12627,11355,2034
7,38,104488,15178,12416,11840,2232
7,39,91638,13618,11686,11643,1788
7,40,82361,13684,11672,12419,886
7,41,92961,21143,14699,12844,1412
7,42,87496,13654,10479,11807,1825
7,43,80326,12936,10108,11295,1226
7,44,74864,12723,10084,9805,1560
7,45,64985,11871,9371,8948,1844
7,46,86568,14119,11402,10555,1656
7,47,104484,18655,14587,11984,2975
7,48,88507,13797,11067,9321,1653
7,49,97626,17138,13309,11844,1668
7,50,91175,15011,11778,11620,1745
7,51,68197,13620,10649,10626,1977
7,52,63881,12590,10788,10538,1106
7,53,81313,18021,14340,12201,1919
7,54,74838,15393,13038,12886,2042
7,55,69865,13279,10586,11148,1270
7,56,71367,14117,11845,11644,2062
7,57,81696,19873,14709,12741,2209
7,58,67998,12747,11181,10468,1248
7,59,60099,17234,12062,11806,1232
7,60,106442,36015,23212,12764,1931
7,61,127384,19180,14512,13931,2728
7,62,88568,14767,11676,11487,1785
7,63,84760,14262,10718,11059,1913
7,64,489012,216051,68368,21425,2377
7,65,62194,17041,15757,14419,1603
7,66,85707,14242,11950,12150,1918
7,67,65476,15789,14123,14295,1862
7,68,69204,15829,14167,13822,1955
7,69,74601,16138,19011,19556,2604
7,70,61822,16566,15403,13738,1828
7,71,78726,13155,11239,10647,1351
7,72,85696,13816,11676,11109,1161
7,73,99070,14728,11684,11269,1425
7,74,102675,26087,24187,24571,5696
7,75,66475,19148,18186,18722,2247
7,76,53824,15998,14429,15589,1649
7,77,75176,17895,16526,16294,2606
7,78,58956,16485,15676,16940,2521
7,79,62453,16698,16240,16843,1467
7,80,64956,17551,16614,16199,1760
7,81,61735,21995,21729,18350,1847
7,82,72964,16724,15593,16047,2221
7,83,77693,15000,13357,13192,1372
7,84,83078,15629,14229,12375,1623
7,85,76392,20374,196865,151105,1787
7,86,89722,13875,11641,11379,34
7,87,76194,12338,9823,10514,1417
7,88,65236,11577,9062,9874,1224
7,89,88022,14625,12693,12370,1683
7,90,77464,14751,12555,11970,2115
7,91,100316,28203,35271,29314,1914
7,92,76857,19750,18180,17066,1708
7,93,51179,16728,15443,14345,1093
7,94,76108,15521,15627,13633,1361
7,95,85628,17449,16642,14149,1299
7,96,94743,15309,13339,12310,1226
8,1,188535,27764,21655,20883,3539
8,2,182172,27967,22310,20802,2997
8,3,109702,21584,19219,17006,2763
8,4,1610836,1583173,1070539,405594,2441
8,5,103301,31934,45447,34245,1546
8,6,107596,16810,15394,10975,1519
8,7,120634,14597,11822,8502,1403
8,8,108984,13217,10132,7443,848
8,9,111024,15139,12341,9637,1952
8,10,164281,18963,14222,11644,1971
8,11,193774,22003,15674,13414,2897
8,12,178869,22348,16659,13791,4882
8,13,143229,19271,13149,12371,2307
8,14,121275,17047,11969,10743,2224
8,15,103219,13793,10009,8514,2177
8,16,99937,15408,11515,9098,1161
8,17,89957,14037,11204,8963,1637
8,18,86185,14621,11650,9139,4266
8,19,86161,17907,13830,9004,618
8,20,95529,18217,13887,10113,2247
8,21,104142,19359,15733,12256,2623
8,22,104823,16682,13896,11165,1981
8,23,117206,17257,13781,11676,1608
8,24,118189,16149,12824,11450,1115
8,25,149258,18318,12174,12882,2818
8,26,142315,17218,11887,12162,2331
8,27,104209,14367,10237,11334,1789
8,28,95153,14398,11351,11738,1609
8,29,89696,14237,10661,11701,1300
8,30,77645,13892,10751,11484,1327
8,31,69743,17445,15184,16021,1478
8,32,1343716,2154370,1850002,507253,2995
8,33,1382492,2246825,1847238,498538,2061
8,34,983591,1674415,1401666,389662,1985
8,35,215415,267353,251035,97417,2006
8,36,112294,44218,40732,24152,3860
8,37,105703,14708,12581,11374,2054
8,38,103116,14705,12481,11249,2067
8,39,90950,13735,11446,11406,1659
8,40,81293,13684,11809,11964,1368
8,41,92350,20925,14653,12530,1756
8,42,85985,13354,10559,12009,1518
8,43,79764,12667,10176,11005,1380
8,44,75369,12723,9584,9705,1364
8,45,65060,11798,9546,9016,1351
8,46,85804,14207,11351,10118,1667
8,47,102975,18783,14473,11902,2495
8,48,88220,13547,10843,9349,1333
8,49,95342,16855,13033,12184,1767
8,50,89562,14580,11881,11884,1559
8,51,66609,13309,10642,10293,1448
8,52,61968,12411,10864,10402,958
8,53,79835,18295,14520,11797,1870
8,54,73806,15588,13029,13129,1846
8,55,68931,13139,10521,11095,1224
